OID_,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity,dist_attractions,dist_city,airbnb_count,average_price,poi_count,transport_count,hotel_count,relative_price,cluster_id
1,53939356.0,435279521,100,100.0,f,t,t,47.73908,-122.29009,1,2.0,1.0,1.0,42.0,1.0,1125.0,4.33,4.67,4.22,5.0,4.78,4.33,4.44,t,7,5,2,f,f,2,28,366,0.03,-1.98,-1.95,7755.257116411342,15334.08146509811,15,97.33333333333333,0,2.0,0,-55.33333333333333,0
2,6.30392837253857e+17,104834083,98,99.0,f,t,t,47.50846,-122.23577,5,1.0,2.0,4.0,194.0,3.1,31.3,4.5,4.5,5.0,4.0,4.5,4.5,4.5,t,46,5,3,f,f,2,37,2208,-0.45,-1.56,-2.01,2461.9871542635465,12759.323173548324,11,207.18181818181816,0,0.0,0,-13.181818181818159,0
3,19553441.0,25383292,0,33.0,t,t,t,47.58493,-122.40062,6,3.0,3.0,3.0,595.0,30.0,30.0,5.0,5.0,4.95,4.95,5.0,5.0,4.9,f,2,1,3,t,t,2,69,2901,-1.01,-1.98,-2.99,4964.330923515274,5707.555278490612,31,271.9032258064516,25,6.0,0,323.0967741935484,1
4,6.06740310546802e+17,121968404,100,100.0,f,t,t,47.74255,-122.32712,6,2.0,3.0,4.0,248.0,3.0,1125.0,4.86,4.86,5.0,5.0,5.0,4.86,5.0,f,1,5,3,f,t,2,54,2088,0.01,-0.17,-0.16,8109.386216026292,15424.788046446094,6,169.16666666666663,13,2.0,0,78.83333333333337,2
5,6.75687046361566e+17,114731080,100,100.0,t,t,t,47.74408,-122.28824,12,3.0,6.0,8.0,362.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,5,3,f,t,3,57,2135,-0.5,-0.49,-0.99,8327.438225783299,15906.4428907364,10,132.6,0,2.0,0,229.4,2
6,23896079.0,28319832,100,94.0,t,t,t,47.51039,-122.31058,2,1.0,1.0,1.0,71.0,1.0,5.0,4.83,4.89,4.82,4.89,4.86,4.75,4.87,f,2,4,2,f,t,2,34,2844,2.78,-1.02,1.76,1281.6964898948327,10492.010422411679,13,150.0,0,0.0,0,-79.0,0
7,10123910.0,28991907,100,0.0,t,t,t,47.6144,-122.28014,8,2.0,3.0,5.0,399.0,5.0,365.0,4.82,4.8,4.77,4.99,4.92,4.96,4.7,f,1,4,3,t,t,3,41,2833,-0.57,1.11,0.54,3968.7675164207753,3933.1058712047943,8,211.625,1,7.0,0,187.375,2
8,4995768.0,25749669,75,50.0,f,t,t,47.50515,-122.34091,2,1.5,1.0,1.0,90.0,2.0,1125.0,4.67,4.8,4.47,4.93,4.87,4.73,4.71,f,4,3,2,f,t,2,33,2893,-0.92,-1.34,-2.26,3397.1473851326527,11001.976915974108,9,217.11111111111111,4,5.0,0,-127.11111111111111,0
9,6.977409806536837e+17,423937178,100,100.0,f,t,t,47.48607,-122.28398,10,3.0,5.0,5.0,298.0,2.0,365.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,5,3,f,f,1,45,444,0.74,-0.17,0.57,3599.806583413428,13544.730922355948,3,139.33333333333334,2,6.0,0,158.66666666666666,2
10,52134913.0,23165254,100,98.0,f,t,t,47.51642,-122.33738,8,1.0,2.0,2.0,349.0,173.1,365.0,4.64,4.18,4.91,4.55,4.64,4.55,4.18,t,10,5,3,f,t,3,30,2962,-0.73,1.11,0.38,2722.40786089766,9734.22305244669,4,208.25,2,5.0,0,140.75,2
