Year,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,49.14,32.95,14.17,20.11,22.82,21.27,20.84,18.38,38.65,22.66,20.2,17.25,17.6,14.92,17.41,13.97,18.53,16.85,19.94,13.39,15.88,20.42,16.49,14.75,14.31,12.99,22.01,17.26,16.72,20.17,19.16
2020,44.39,28.41,13.32,18.47,19.72,18.98,17.41,15.27,35.35,19.76,17.98,14.31,15.31,12.84,15.57,12.73,16.54,13.14,17,11.85,15.06,16.36,14.1,12.07,12.57,12.27,19.75,15.71,16.17,18.86,17.8
2019,50.49,28.87,11.32,15.15,20.55,17.15,12.94,14.37,30.73,17.56,16.45,12.2,11.21,12.14,13.4,10.74,14.7,13.21,14.39,9.46,14.7,15.42,14.14,8.32,11.28,8.5,13.71,11.93,13.75,14.14,14.88
2018,48.65,28.29,11.2,15.54,19.33,16.65,13.58,13.89,31.7,14.92,15.89,12.27,13.34,9.91,12.8,9.37,15.56,11.88,12.41,7.07,16.65,15.19,12.92,9.3,9.94,8,17.42,12.59,14.42,13.16,17.23
2017,47.61,28.85,9.99,14.92,18.13,17.34,14.82,13.38,34.03,17.29,15.58,9.52,15.08,8.43,13.26,8.66,16.2,11.81,14.04,7.65,13.12,13.65,10.69,9.57,8.51,8.37,15.28,13.9,11.65,15.72,18.09
2016,45.46,25.61,10.31,13.57,18.28,18.02,14.15,13.47,30.05,16.61,15.19,9.37,11.52,8.98,12.28,7.96,13.92,11.65,13.83,7.99,9.73,12.61,8.99,7.01,8.69,5.25,12.79,10.72,9.69,15.37,13.73
2015,42.34,23.33,10.21,13.74,16.14,16.93,13.17,13.28,28.7,16.42,14.66,11.73,13,10.57,12.63,8.74,14.99,11.89,11.99,9.21,10.85,12.56,10.99,8.45,9.48,7.11,17.74,12.52,10.45,15.24,14.55
2014,38.15,22.85,7.94,9.85,10.89,17.21,11.88,12.35,27.13,14.28,15.1,10.49,11.69,8.15,9.82,10.36,11.43,9.2,9.38,8.01,8.13,12.86,9.06,10.38,6.81,2.6,11.04,10.31,12.82,10.67,13.25
2013,41.21,23.05,7.73,10.72,10.08,19.83,11.56,12.24,24.69,13.73,17.33,9.15,8.89,9.39,9.89,8.09,11.92,8.5,8.2,7.7,8.78,9.36,10.54,9.09,7.76,2.39,11.99,9.02,12.57,11.25,12.85
2012,37.35,22.85,5.79,9.54,12.06,18.5,8.97,10.11,23.07,13.45,14.95,10.25,7.82,8.29,9.77,6.66,12.22,7.34,9.76,6.48,10.25,9.97,9.92,6.57,6.77,4.25,10.68,8.9,9.58,9.11,13.44
2011,33.94,20.99,5.37,8.11,12.65,12.53,9.08,9.42,21.18,12.06,12.56,6.84,12.13,7.25,8.95,7.64,11.24,7.92,10.57,8.8,7.68,11.51,8.3,8.24,6.98,4.97,10.16,8.84,9.09,8.96,14.15
2010,31.5,17.48,7.3,8.72,10.21,11.97,9.89,9.07,21.95,10.81,9.33,6.7,8.36,6.85,8.69,6.4,9.53,7.59,8.21,5.98,7.77,8.64,6.68,5.29,5.78,5.51,10.56,7.52,8.62,9.15,10.64
2009,30.77,17.01,5.62,7.66,7.95,11.82,8.22,6.55,23.66,7.76,10.04,4.66,9.8,6.86,6.01,5.16,7.63,6.14,6.87,4.1,6.88,5.49,5.62,3.31,3.06,1.68,9.1,4.79,8.84,8.36,9.51
2008,28.12,15.46,4.81,7.2,7.42,11,7.57,5.97,22.66,7.04,9.53,4.01,5.86,6.39,5.47,4.72,8.08,6.51,7.04,3.29,5.77,4.24,4.35,3.5,3.51,1.72,8.68,4.49,7.47,7.65,9.7
2007,30.13,15.74,4.16,7.19,7.46,10,7.49,6.4,21.34,8.12,8.59,3.93,5.67,7.22,5.78,4.04,8.16,6.17,6.46,4.01,6.26,3.77,4.1,3.22,4.02,1.21,7.73,3.83,7.07,7.43,8.97
2006,29.36,15.22,3.93,6.65,6.51,9.57,7.02,6.11,21.83,7.24,8.42,4.72,5.83,4.74,5.73,4.14,7.71,5.07,5.7,4.57,5.43,4.49,4.51,2.72,3.1,1.06,7.46,3.3,5.95,7.27,8.69
2005,24.49,14.08,4.73,5.57,7.93,8.34,6.68,6.42,17.84,6.8,5.42,3.85,4.98,3.85,4.44,4.22,5.07,4.49,5.81,4,5.45,4.63,3.48,3.32,3.37,0.89,6.17,4.26,7.11,6.82,8.75
2004,23.89,14.34,5.89,5.23,6.63,8.29,6.85,4.68,18.5,4.92,7.47,4.43,4.56,4.67,5.49,4.42,5.78,5.22,5.19,5.18,5.21,3.64,3.62,4.47,3.84,0.94,7.23,5.67,4.51,7.16,9.89
2003,20.29,10.86,6.6,5.38,5.46,8.97,6.42,4.9,16.67,4.96,6.17,4.91,4.66,6.28,5.49,3.2,5.44,4.7,5.07,4.52,5.78,3.61,3.74,5.29,1.83,0.82,6.38,4.44,5.06,5.53,10
2002,20.49,10.57,4.69,4.63,5.64,5.52,6.5,4.87,15.07,3.83,5.77,2.64,4.2,2.91,5.67,4.3,3.86,4.35,5.15,3.48,3.59,3.35,3.75,3.52,1.99,0.79,3.95,3.05,3.15,5.66,9.88
