Year,Beijing,Tianjin,Hebei,Shanxi ,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,2.43,2.44,2.84,2.65,2.49,2.37,2.41,2.32,2.37,2.73,2.51,2.67,2.87,3.12,2.67,2.99,3,2.95,2.86,3.12,3.4,2.63,2.73,3.03,3.09,3.27,2.69,3,3,2.78,2.97
2020,2.31,2.4,2.75,2.52,2.35,2.29,2.34,2.22,2.32,2.6,2.35,2.61,2.68,2.94,2.7,2.86,2.65,2.67,2.63,2.87,3.06,2.45,2.51,2.81,2.88,3.19,2.53,2.77,2.79,2.65,2.81
2019,2.56,2.65,3.1,2.95,2.58,2.54,2.6,2.47,2.38,2.97,2.55,2.92,2.84,3.32,2.74,3.31,2.94,3.15,2.89,3.28,3.62,2.82,2.75,3.17,3.28,4.13,2.98,3.35,3.1,3.07,3.31
2018,2.58,2.7,3.12,2.99,2.62,2.55,2.66,2.59,2.43,3.04,2.58,3.11,2.94,3.45,2.85,3.41,3,3.29,3.02,3.4,3.59,2.9,2.9,3.26,3.3,3.86,2.98,3.43,3.25,3.17,3.1
2017,2.62,2.74,3.21,2.97,2.67,2.65,2.66,2.61,2.49,3.09,2.62,3.18,3.03,3.56,2.82,3.34,3.02,3.21,3.05,3.51,3.58,2.78,2.95,3.4,3.53,3.99,3.09,3.35,3.36,3.11,3.17
2016,2.62,2.77,3.26,3.11,2.73,2.74,2.85,2.75,2.47,3.18,2.68,3.32,3.05,3.64,2.87,3.48,3.11,3.24,3.1,3.55,3.78,2.75,3.02,3.33,3.55,4.03,3.23,3.45,3.36,3.17,3.33
2015,2.54,2.78,3.24,3.08,2.73,2.77,2.92,2.79,2.46,3.09,2.69,3.25,3.1,3.57,2.88,3.39,3.05,3.28,3.23,3.51,3.65,2.85,3.02,3.38,3.49,4.13,3.14,3.53,3.46,3.21,3.29
2014,2.49,2.62,3.2,3.06,2.68,2.63,2.72,2.67,2.34,2.96,2.54,3.08,2.69,3.41,2.84,3.34,2.96,3.18,3.19,3.23,3.59,2.72,2.69,3.09,3.3,4.08,3.07,3.35,3.19,3.2,3.2
2013,2.61,2.67,3.17,3.01,2.74,2.72,2.77,2.74,2.35,2.95,2.54,3.03,2.72,3.42,2.8,3.28,2.94,3.25,3.15,3.31,3.52,2.66,2.76,3.07,3.28,4.05,3.05,3.35,3.37,3.2,3.3
2012,2.53,2.76,3.26,3.06,2.78,2.69,2.88,2.77,2.35,2.97,2.68,3.02,2.82,3.43,2.91,3.37,3.03,3.07,3.26,3.32,3.64,2.67,2.85,3.1,3.26,4.07,3.07,3.22,3.4,3.35,3.16
2011,2.42,2.73,3.33,3.22,2.73,2.72,2.91,2.81,2.33,2.92,2.59,3.03,2.78,3.44,2.9,3.39,3.06,3.05,3.33,3.15,3.54,2.78,2.83,3.11,3.31,4.21,3.16,3.24,3.49,3.3,3.2
2010,2.45,2.8,3.36,3.24,2.82,2.78,2.94,2.85,2.49,2.94,2.62,3.09,2.98,3.67,2.98,3.47,3.16,3.32,3.2,3.34,3.63,2.77,2.95,3.24,3.53,4.23,3.22,3.49,3.46,3.25,3.26
2009,2.53,2.96,3.29,3.26,2.91,2.86,3.08,2.88,2.59,2.98,2.8,3.04,2.96,3.64,2.98,3.34,3.08,3.29,3.3,3.57,3.75,2.75,3.01,3.61,3.58,4.71,3.16,3.58,3.58,3.47,3.49
2008,2.58,3.02,3.32,3.32,2.97,2.84,3.03,2.84,2.61,3.02,2.81,3.04,3.05,3.53,2.96,3.39,3.08,3.23,3.41,3.55,3.75,2.88,3.03,3.6,3.63,4.6,3.19,3.6,3.67,3.57,3.53
2007,2.65,3,3.3,3.36,2.96,2.91,3.04,2.92,2.65,2.99,2.84,3.04,3.1,3.42,2.94,3.4,3.09,3.17,3.39,3.58,3.85,2.91,3.03,3.54,3.65,4.7,3.22,3.69,3.65,3.64,3.54
2006,2.64,2.96,3.3,3.4,3.01,2.94,3.06,2.99,2.65,3,2.84,3.09,3.13,3.37,2.94,3.38,3.09,3.11,3.41,3.52,3.93,2.98,2.97,3.57,3.64,4.85,3.24,3.72,3.67,3.66,3.61
2005,2.7,2.92,3.32,3.38,2.91,2.92,3.14,2.97,2.65,2.91,2.73,3.02,2.99,3.29,2.9,3.42,3.08,3.14,3.4,3.38,3.84,2.83,2.95,3.45,3.59,5.03,3.26,3.67,3.67,3.58,3.47
2004,2.79,3.1,3.49,3.62,3.13,3.13,3.24,3.14,2.86,3.15,2.97,3.36,3.18,3.5,3.04,3.5,3.36,3.4,3.8,3.81,4.16,2.92,3.34,3.65,3.72,4.8,3.6,3.93,3.88,3.67,3.49
2003,2.74,3.08,3.46,3.67,3.18,3.1,3.27,3.14,2.81,3.18,2.92,3.38,3.26,3.44,3.08,3.52,3.28,3.39,3.83,3.71,3.98,3.43,3.32,3.66,3.94,4.89,3.56,3.98,3.9,3.74,3.56
2002,2.87,3.07,3.52,3.61,3.14,3.14,3.29,3.22,2.89,3.15,2.93,3.49,3.22,3.61,3.12,3.6,3.28,3.44,3.65,3.67,4.23,3.35,3.26,3.66,3.79,4.23,3.64,3.97,4.11,3.76,3.5
