Year,Beijing,Tianjin,Hebei,Shanxi ,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,40269.6,15695,40391.3,22590.2,20514.2,27584.1,13235.5,14879.2,43214.9,116364.2,73515.8,42959.2,48810.4,29619.7,83095.9,58887.4,50012.9,46063.1,124369.7,24740.9,6475.2,27894,53850.8,19586.4,27146.8,2080.2,29801,10243.3,3346.6,4522.3,15983.6
2020,35943.3,14008,36013.8,17835.6,17258,25011.4,12256,13633.4,38963.3,102807.7,64689.1,38061.5,43608.6,25782,72798.2,54259.4,43004.5,41542.6,111151.6,22120.9,5566.2,25041.4,48501.6,17860.4,24555.7,1902.7,26014.1,8979.7,3009.8,3956.3,13800.7
2019,35445.1,14055.5,34978.6,16961.6,17212.5,24855.3,11726.8,13544.4,37987.6,98656.8,62462,36845.5,42326.6,24667.3,70540.5,53717.8,45429,39894.1,107986.9,21237.1,5330.8,23605.8,46363.8,16769.3,23223.8,1697.8,25793.2,8718.3,2941.1,3748.5,13597.1
2018,33106,13362.9,32494.6,15958.1,16140.8,23510.5,11253.8,12846.5,36011.8,93207.6,58002.8,34010.9,38687.8,22716.5,66648.9,49935.9,42022,36329.7,99945.2,19627.8,4910.7,21588.8,42902.1,15353.2,20880.6,1548.4,23941.9,8104.1,2748,3510.2,12809.4
2017,29883,12450.6,30640.8,14484.3,14898.1,21693,10922,12313,32925,85869.8,52403.1,29676.2,33842.4,20210.8,63012.1,44824.9,37235,33828.1,91648.7,17790.7,4497.5,20066.3,37905.1,13605.4,18486,1349,21473.5,7336.7,2465.1,3200.3,11159.9
2016,27041.2,11477.2,28474.1,11946.4,13789.3,20392.5,10427,11895,29887,77350.9,47254,26307.7,29609.4,18388.6,58762.5,40249.3,33353,30853.5,82163.2,16116.6,4090.2,18023,33138.5,11792.4,16369,1173,19045.8,6907.9,2258.2,2781.4,9630.8
2015,24779.1,10879.5,26398.4,11836.4,12949,20210.3,10018,11690,26887,71255.9,43507.7,23831.2,26819.5,16780.9,55288.8,37084.1,30344,28538.6,74732.4,14797.8,3734.2,16040.5,30342,10541,14960,1043,17898.8,6556.6,2011,2579.4,9306.9
2014,22926,10640.6,25208.9,12094.7,12158.2,20025.7,9966.5,12170.8,25269.8,64830.5,40023.5,22519.7,24942.1,15667.8,50774.8,34574.8,28242.1,25881.3,68173,13587.8,3449,14623.8,28891.3,9173.1,14041.7,939.7,17402.5,6518.4,1847.7,2473.9,9264.5
2013,21134.6,9945.4,24259.6,11987.2,11392.4,19208.8,9427.9,11849.1,23204.1,59349.4,37334.6,20584,22503.8,14300.2,47344.3,31632.5,25378,23545.2,62503.4,12448.4,3115.9,13027.6,26518,7973.1,12825.5,828.2,15905.4,6014.5,1713.3,2327.7,8392.6
2012,19024.7,9043,23077.5,11683.1,10470.1,17848.6,8678,11015.8,21305.6,53701.9,34382.4,18341.7,20190.7,12807.7,42957.3,28961.9,22590.9,21207.2,57007.7,11303.6,2789.4,11595.4,23922.4,6742.2,11097.4,710.2,14142.4,5393.1,1528.5,2131,7411.8
