Year,Beijing,Tianjin,Hebei,Shanxi ,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,35.8,41.2,51.8,42,38.1,42,38.7,36.2,37.5,46.5,37.8,51.7,43.8,49.9,52.3,56.7,45.6,52.3,38.6,55.1,43.7,49.3,49.7,54.5,43.9,44,45.2,47.5,44,43,42.3
2020,33.6,39.3,51.9,41.4,37.2,39.9,37.6,35,35.3,45.8,36.5,52.1,43.7,51.2,51.3,57.8,44.7,52.3,37.8,55.8,43.7,49.2,49.3,55.1,43.5,43.3,44.2,47,41.8,42.9,43.3
2019,28,28.8,47,35.8,30.3,35.4,33.4,31.2,35.7,40.6,37.2,48.4,36.7,43.6,50.4,48.5,40.2,49.6,32.5,47.1,40.5,47.3,47.4,51.1,38.7,47.2,36.2,40.1,39,43.3,47.5
2018,27.8,26.9,45.3,35,30.1,33.6,32.7,29.5,33,38.9,36.4,46.6,35.5,42.9,49.6,47.8,38.6,47,33.6,46.8,37.7,45.8,45.7,50.6,38.2,41.3,34.3,40.7,37.3,41,42.4
2017,30.6,29.2,42.4,32.6,32.3,32,32.7,28.3,31.9,37.7,32.7,47.3,38.9,45.7,44.1,46.4,39,44.1,32.6,47.1,38.9,44.2,42.4,45.4,37.6,42.4,36.5,38.7,38.8,36.7,43.2
2016,29.2,28.6,41.6,31.7,28.6,31.3,30.7,28.2,29.3,37.4,32.6,40.9,39.4,44.6,40,44.6,37.1,43,32.3,45,38.9,41.7,42.2,46.8,38.7,40.9,34.4,36.8,36.9,36.9,42.4
2015,26.2,25.7,39.7,32,29.2,30.7,29.7,27.3,28.5,35.6,31.9,40.8,36.2,44,38.9,44.6,35.9,42.1,30.5,47.9,39.4,40.6,40.5,46.9,38,41.4,34,36,37.3,37.9,40.7
2014,23,29,38.8,30.5,29.7,28.9,28.8,26.6,24.7,34.8,27.6,39.5,33.7,42.8,37.5,42.2,35.6,41.2,32.9,45.8,36.4,41.6,43.3,45.6,38.3,43,34.3,33.9,34.1,36.1,38.9
2013,22.7,29.3,36.9,31.1,28.7,26,27.3,26.5,25,34.4,26.8,40.8,33.4,40.3,36,42.2,33.1,40.5,31.5,44.4,36.8,40.6,41.5,45.7,39,39.7,33.2,34.8,37.1,37.6,37.4
2012,21.9,28.5,37.1,31,27.8,25.5,25,26.5,21.2,32.7,26.7,39.7,33.9,42.1,36.3,41.6,33.1,42.4,30.5,46.9,35.8,41.5,39,47.3,37.6,38,30.4,34.8,38.2,38.9,37.5
2011,21.3,25.7,34.7,31.5,25.9,28.4,27.3,24.6,19.3,31.2,26.9,39.9,30.6,41,35.7,41.9,32.3,39.6,31.2,46,36.6,39.8,39.3,49.9,37.5,38.7,30.7,34.7,36,35.9,36.2
2010,20.9,22.4,33.5,32.8,27.6,27.8,25.6,25.4,23.1,31.4,29.1,39.2,30.5,41.8,34.4,41.6,29.9,37.7,31,44.8,38.5,39.9,38.7,51,39.6,41.8,30.3,35.9,37.4,38.7,36.9
2009,25,26.8,34,33.9,29.4,29.1,26.7,26.6,27.6,34.6,33.2,41.7,37.2,43,34.1,39,32.7,39.7,33,44.1,41.2,42.8,41.7,49.4,43.1,36.6,34.6,37.4,38.8,39.2,38.6
2008,25,29.9,33,35.3,29.9,30.7,27.2,27.9,26.5,34.2,32.8,44.6,38.4,45.1,33.9,38.3,33,37.3,35.2,45.4,43.9,44.9,40.5,51.9,42.9,40.1,35.2,40.5,40,41.6,39.1
2007,24.7,28.5,34.4,36.7,31.3,30.4,28.1,28.4,28.6,34.1,33.9,45.7,38.3,46.2,33.6,38.8,34.4,37.2,36,45.1,43.3,44.1,43.1,55.1,42.8,39.6,37,39.9,40.7,42.3,39.4
2006,26.9,29.3,33.5,37.1,31.6,30.1,27.2,28.3,29.1,35.2,33.4,46.1,37.6,49.3,33,40.8,36.6,40,37.6,45.4,44.6,44.7,45.3,54.7,43.3,44.7,37.8,41.2,42,43,41.2
2005,26.7,28.8,34.9,40.9,33.3,31.6,28.5,28.9,26.5,35.9,36,49.7,37.4,50.5,34.9,41.6,39,40.5,40.5,49.9,47.6,46.3,48.7,57.6,46.3,50.3,39.3,44.2,43.1,46.9,42.9
2004,26.7,31.4,34.1,39.3,32.6,30.5,27.1,27.1,31.9,37.1,34,43.3,38.5,42.1,35.8,41.6,37.9,37.6,49.4,41.6,45.8,47.8,39.6,49.4,43.3,45.4,37.9,40.2,41.3,46,39.5
2003,27.8,33.2,36.5,43,34.9,32.3,28.7,29,33.7,39.6,38.1,42.9,41.5,43.2,37.8,44.2,40.9,39.6,52.9,44.3,46.9,38.9,40.3,50.3,46.3,49.3,40.2,42.2,43.9,47.1,43.2
2002,28.6,33.9,40.5,43.7,36.3,31.2,29.8,30.5,31.9,40.2,38.1,48,40.2,46.9,37.6,45.5,46.8,40.7,49.2,44.3,50,40.4,42.1,51.3,45.9,46.4,43.6,43.8,45.5,46,44.7
