Year,Beijing,Tianjin,Hebei,Shanxi ,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,104.26,105.28,98.98,104.4,104.38,97.6,100.3,100.42,107.75,103.05,109.45,104.35,107.5,107.05,103.05,101,106.28,105.06,111.7,107.47,113.47,102.33,102.03,104.79,106.34,110.04,104.26,103.45,101.19,104.11,107.29
2020,104.65,106.31,102.02,104.06,104.26,99.7,99.69,100.35,107.33,103.15,109.04,103.94,106.94,106.62,102.67,100.6,105.83,104.77,113.08,107.04,112.86,102.21,102.19,104.5,107.16,110.32,104.79,103.1,104.97,103.83,106.85
2019,101.56,123.17,104.26,102.32,106.68,100.71,101.94,102.77,107.86,103.38,107.64,102.13,107.51,104.29,101.92,102.03,101.45,103.88,118.05,106.98,106.34,100.17,96.73,107.42,104.14,100.31,103,102.19,106.91,105.95,101.73
2018,98.75,115.72,101.67,104.73,104.26,100.37,102.03,102.93,106.61,103.43,107.97,106.06,108.41,105.83,100.77,102.45,106.15,101.51,117.27,108.47,104.69,100.35,98.67,109.37,107.67,98.98,100.47,103.65,108.34,98.27,99.76
2017,102.65,111.1,103.14,108.34,100.79,100.12,102.42,103.83,103.54,103.02,111.48,104.92,104.12,108.28,101.68,104.49,106.34,101.68,113.46,109.2,110.02,99.57,101.93,107.23,107.41,100.85,97.38,103.27,105.93,96.91,102.12
2016,105.85,114.39,104.61,106.04,102.05,101.86,103.41,102.11,105.87,101.44,108.56,105.52,103.8,108.45,104.14,103.89,105.49,104.51,113.02,108.43,111.46,103.37,99.73,106.65,102.16,102.18,101.93,102.85,105.8,106.7,104.48
2015,109.45,120.43,102.15,107.49,104.32,100.45,102.02,101.59,108.37,103.01,107.37,104.9,105.71,106.12,104.45,103.99,104.12,102.98,113.51,105.57,110.47,100.6,100.89,107.12,104.98,102.33,102.59,106.18,109.29,106.16,104.12
2014,102.24,100.34,104.91,103.3,103.9,102.74,103.65,100.16,106.7,101.66,109.98,98.6,108.56,109.27,102.65,102.33,103.9,105.29,118.62,108.36,115.37,105.88,98.23,104.68,105.4,101.07,107.05,107.6,101.09,105.8,104.5
2013,107.62,98.87,105.5,105.52,107.91,101.97,106.23,102.94,106.24,99.94,107.54,104.11,107.89,108.52,103.87,101.09,103.33,105.7,110.84,109.44,111.71,103.96,104.02,107.05,107.56,103.23,105.02,105.64,103.85,104.32,105.25
2012,105.18,98.61,104.6,104.46,104.44,100.53,103.47,103.66,108.78,98.9,104.58,108.78,101.89,107.64,102.14,102.26,103.83,106.57,111.94,107.72,113.6,101.37,109.96,105.66,105.88,98.72,107.08,106.01,106.35,104.52,103.97
2011,104.09,98.83,107.74,104.93,98.85,101.32,104.48,101.29,113.09,100.86,95.77,102.7,97.37,111.2,100.74,107.82,105.67,105.98,115.23,109.97,108.28,104.03,104.43,112.01,104.1,104.43,105.42,108.18,102.61,111.07,105.31
2010,106.75,114.52,102.84,105.56,108.05,102.54,102.67,103.22,106.18,101.54,105.69,103.39,105.96,107.46,102.33,102.06,105.56,105.81,109,108.26,110.9,102.43,103.14,106.89,107.84,105.69,106.92,104.42,107.4,105.09,105.34
2009,104.27,102.38,103.6,104.22,105.01,101.36,104.89,103.31,98.95,97.3,101.93,106.62,99.99,104.77,102.3,102.53,105.15,104.89,102.23,110.76,114.17,100.66,100.93,107.03,108,96.6,102.58,103.8,101.21,104.24,102.61
2008,103.38,97.21,103.96,102.93,105.21,100.92,102.37,102.28,100.18,95.07,103.62,105.33,101.24,104.56,100.13,102.27,102.88,107.1,105.09,109.21,109.81,101.67,102.64,108.21,108.3,94.65,102.79,102.39,101.61,103.71,103.14
2007,99.06,100.32,103.72,103.87,103.08,101.22,102.64,102.12,99.29,95.59,104.68,102.45,101.05,104.64,100.87,103.85,103.39,106.25,103.72,108.61,109.95,102.56,101.14,107.12,106.32,96.4,101.55,102.82,102.74,103.08,103.47
2006,97.21,96.81,102.17,102.27,104.05,102.02,102.42,103.23,98.71,94.92,101.87,103.67,102.03,105.13,100.88,102.8,102.47,103.85,105.06,109.18,109.93,102.56,103.23,106.99,107.15,95.76,101.19,102.53,103.15,103.84,102.41
2005,102.65,100.81,100.92,102.97,104.69,100.53,103.15,102.44,101.27,96.34,102.95,100.79,101.11,103.65,99.97,103.21,103.54,104.67,102.61,107.62,110.46,101.57,99.44,106.13,106.57,98.01,102.01,101.83,102.12,101.47,102.76
2004,105.01,98.37,104.52,105.44,105.74,100.62,100.43,103.14,96.62,98.53,102.67,105.39,100.81,106.21,100.67,106.02,102.76,105.24,105.48,107.55,109.07,99.3,101.84,107.48,102.44,95.14,105.88,106.34,105.44,102.24,103.56
2003,106.08,97.44,104.17,105.01,104.36,100.05,100.67,103.52,99.82,97.99,102.4,106.03,104.61,105.16,100.42,107.35,104.81,108.41,104.55,109.84,113.33,103.56,102.95,107.63,109.34,92.25,105.2,105.31,104.15,103.29,103.77
2002,112.29,98.7,103.18,106.14,105.84,101.94,101.67,105.04,96.73,100.3,102.89,105.9,108.42,106.07,102.36,103.84,104.55,107.98,105.62,108.39,110.08,104.36,100.57,107.12,106.62,92.84,105.77,105.49,105.28,104.82,102.25
