Year,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,877.1,1333.97,5779.6,3034.92,1713.36,3148.63,1672.77,1204.55,1489.95,14361.5,8423.68,9507.67,5597.61,6681.26,12632.05,12258.83,7331.61,8316.71,11826.26,5281.5,672.14,4945.42,10912.14,4825.53,3208.6,115.5,3886.63,2118.38,329.06,845.77,2199.49
2020,733.59,1220.74,5572.25,2549.49,1867.47,3447.26,1653.64,1349.86,1434.07,13855.72,8832.38,8695.35,5210.03,5853.05,11904.74,12831.18,5960.08,8506.65,12930.66,6007.45,626.19,4814.49,10902.37,4929.93,4175.88,81.62,3902.4,1863.81,420.64,971.87,1773.61
2019,789.02,1382.63,4770.38,2169.33,1803.55,3412.52,1873.99,1461.12,1353.7,12545.04,7803.99,8323.89,5073.73,5678.98,11429.01,12981.63,7967.09,8073.25,11872.61,6076.88,721.57,5149.08,10451.05,4612.13,4064.52,110.49,3818.25,1569.16,406.66,887.35,1511.75
2018,526.76,1140.73,4714.42,2215.59,1702.39,3554.81,1813.82,1665.58,1333.29,12040.68,7936.17,8901.25,4781.58,5389,11755.37,12482.88,8101.71,7997.94,12075.1,5589.89,1298.82,5424.76,9895.35,4441.44,3643.93,62.1,3545.6,1437.95,377.41,887.97,1195.14
2017,608.78,1342.87,5576.99,2246.28,1726.16,3797.05,1602.06,1868.14,1341.62,12486.66,7669.7,7949.28,4526.13,4964.97,11201.04,11707.26,7363.67,7368.27,13522.51,4687.41,2173.12,5452.65,8786.61,3897.65,3484.49,44.96,3419.84,1386.04,399.57,870.28,1316.7
2016,981.37,2521.87,5899.72,1881.51,2073.36,3383.08,1630.72,1797.02,2019.8,12657.66,7234.19,7506.87,4134.46,4140.55,10598.58,10137.13,6789.21,7190.66,13021.97,3864.01,1417.09,5105.46,7884.09,3426.96,2933.1,71.16,3012.61,1478.81,373.03,830.22,1543.66
2015,1126.84,1674.78,5161.65,1481.14,1944.92,3477.26,1304.82,1710.6,2009.17,10275.95,5131.88,5356.81,3315.69,3145.83,8526.85,7645.84,5647.72,5671.19,10497.62,3181.51,984.79,4477.71,6495.43,2943.37,2576.8,46.32,2717.98,1307.48,329.71,708.12,1536.49
2014,1136.53,1483.64,5015.06,1433.91,1995.68,4932.08,1387.87,2131.46,1780.91,8800.93,3941.49,5364.94,3324.1,2775.22,7972.49,7009.09,5002.6,4852.32,8163.56,2869.32,942.84,4423.68,6176.51,2707.09,2618.02,53.64,2836.69,1212.6,362.92,939.37,1541.25
2013,1363.67,1720.34,5020.13,1484.37,2263.65,8014.8,1985.95,2944.23,2015.81,10191.52,4097.63,5573.53,3957.46,2846.04,9300.29,6561.41,4765.68,5411.48,8830.95,2765.15,1154.86,4359.19,6505.32,2646.98,2855.52,22.78,2831.22,1134.81,369.7,928.26,1799.95
2012,1483.37,1511.4,4622.46,1390.44,2104.22,7655.4,2159.43,3226.22,1592.63,7923.37,3316.23,4275.43,2741.96,2125.9,7745.87,5455.5,3620.1,4664.08,7157.63,2546.96,898.35,4105.11,5679.33,2002.4,2789.68,20.65,2530.84,893.36,246.85,707.57,1274.8
2011,1034.96,1365.71,5293.18,1170.88,2911.16,6624.05,2122.39,2947.84,1500,6767.25,2757.18,3991.99,2213.3,2156.77,8741.16,5725.12,3788.68,4455.59,6706.6,2749.33,819.02,4063.42,5826.52,1698.52,2829.58,17.29,2874.51,758.15,342.56,705.13,1570.56
2010,1201.39,1302.61,4325.12,1070.54,2569.84,6013.5,2105.33,2385.68,1690.82,8112.37,3833.74,3641.88,2139.26,2265.72,8448.26,5092.49,3236.88,4140.07,6552.81,2607.15,834.19,3986.31,5849.34,1596.3,2658.99,18.76,2471.95,692.07,266.43,816.79,1450.02
2009,1880.45,1461.47,2819.77,964.05,2253.98,4864.25,1758.37,1751.22,2928.04,9034.69,4760.12,3646.44,2420.83,2108.07,6478.28,4017.45,2576.32,3262.34,6567.43,2249.7,545.91,3771.22,5553.13,1541.91,2040.33,61.42,1995.67,659.38,208.02,677.98,1326.67
2008,1031.43,1135.35,2128.86,893.1,2093.34,3731.19,1435.73,1286.62,2007.48,5282.89,2480.74,2542.6,1250,1604.86,5039.4,2943.36,1821.31,2413.7,4360.45,1637.99,358.72,2669.93,3247.32,848.11,1478.25,62.08,1426.06,588.63,141.23,453.26,886.35
2007,1731.48,1401.85,1969.12,846.5,1809.73,3545.55,1184.4,1518.57,3279.17,6772.71,3924.92,2775.66,2096.37,2037.87,4710.66,3569.18,2381.91,2498.83,5603.88,1855.5,299.59,3310.13,4562.47,989.39,1792.84,59.6,1377.91,556.25,147.34,448.23,1078.28
2006,2205.03,1332.49,1692.42,740.73,1250.1,2730.74,879.24,1298.51,2615.49,5317.2,3039.54,2037.54,1743.39,1635.26,3824.42,2190.99,1915.3,1815.01,4693.39,1372.4,193.73,2011.7,3738.89,809.56,1500.19,42.28,1060.08,482.9,110.96,337.02,806.46
2005,2823.65,1264.38,1322.32,619.86,918.43,2340.36,745.92,1048.26,2845.7,4523.14,2824.65,1686.03,1720.56,1454.51,3417.75,1539.6,1549.19,1611.6,4546.32,1314.37,233.08,1792.41,3028.55,774.71,1294.95,24.18,849.43,439.83,108.46,319.16,606.48
2004,2285.82,796.09,787.88,350.24,530.91,1578.1,346.59,693.78,3059.53,2759.41,2369.73,1179.66,1224.61,986.92,2207.28,938.2,1245.38,1030.35,3008.59,749.79,118.25,1138.26,1839.02,494.45,479.53,9.56,472.93,235.19,83.65,267.55,552.63
2003,1771.1,720.6,838.02,299.43,433.97,1320.29,436.32,673.11,2224.5,2364.32,2356.78,906.35,1083.79,693.53,2005.03,795.78,1015.04,725.28,2739.6,451.67,108.95,1133,2181.82,494.45,480.52,10.2,531.98,208.87,70.34,187.81,516.48
2002,1604.4,538.3,564.88,261.43,347.44,1120.36,432.67,574.33,1846.4,2074.47,1873.97,681.9,882.92,466.81,1482.23,584.74,724.65,518.18,2260,302.29,71.03,870.4,1644.48,378.51,371.89,14.66,441.41,152.23,61.17,98.49,455.68
