Year,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,4117.23,2183.74,4814.32,2030.1,1116.38,2849.28,1179.29,751.89,6104.95,19626.09,17172.79,7514.62,7082.59,5109.97,11044.14,7892.03,6671.93,5390.44,19457.63,3164.41,1179.59,4786.06,9061.34,2713.37,2524.74,97.51,3762.14,1267.78,258.35,584.93,1220.27
2020,3131.31,2000.98,4597.91,1753.36,1242.58,3114.11,1238.23,946.15,5268.85,18027.33,15584.82,6760.86,6343.34,4425.19,10109.55,8402.53,5447.32,5223.56,19829.63,3803.55,1048.92,4293.18,8766.96,2760.73,3452,72.03,3755.77,1205.42,343.42,626.26,991.08
2019,3032.4,2132.48,3714.57,1452.4,1104.1,2814.86,1373.54,1069.97,4457.16,14894.77,12723.1,6126.69,5685.25,4038.02,9287.11,8016.93,6903.7,4721.43,16758.01,3913.4,1090.56,4457.78,7869.04,2527.41,3255.84,81.21,3359.17,907.07,295.59,498.51,877.89
2018,1971.15,1816.53,3567.27,1473.17,909.04,2615.75,1233.5,1112.28,3864.03,12693.86,12096.31,6174.85,5074.52,3524.32,8682.81,6903.79,6591.36,4377.39,15595.29,3330.75,1831.95,4442.87,6621.21,2278.1,2690.84,42.94,2808.78,774.63,224.05,420.63,648.64
2017,2077.01,2032.93,3925.37,1225.9,731.69,2452.23,920.85,1134.47,3336.09,11325.84,10300.34,4878.56,4202,2879.66,6891.65,5897.68,5380.31,3570.76,15437.89,2635.74,2473.18,3601.56,5173.6,1623.37,1973.72,25.19,2215.17,738.22,211.71,369.3,597.52
2016,2795.81,3245.6,3710.88,900.79,838.08,1988.03,806.49,903.66,5233.29,11055.36,8280.85,4231.59,3793.41,2207.17,6070.54,4839.03,4383.81,3113.62,14240.33,1948.23,1385.26,2635.64,4296.27,1269.43,1411.38,34.7,1585.71,712.35,172.06,325.89,648.94
2015,2512.89,1663.25,2854.21,702.29,766.06,1907.63,680.26,824.21,4319.93,7374.87,5519.27,2714.33,2839.76,1606.67,4510.76,3300.33,3198.53,2253.85,9967.32,1459.43,908.6,2244.43,3269.52,1068.14,1236.81,16.7,1381.27,603.08,139.83,283.98,641.62
2014,2102.46,1309.7,2501.62,639.83,765.04,2518.87,667.62,962.69,2923.44,5969.6,4172.58,2691.8,2939.58,1379.5,4009.48,2739.71,2543.76,1858.58,6960.26,1274.57,873.22,2253.28,3145.02,1000.01,1165.39,28.55,1368.12,513.47,155.83,352.03,625.35
2013,2434.71,1443.34,2329.12,625.14,874.45,3941.86,839.73,1305.9,3264.03,6777.7,4513.88,2662.04,3410.57,1396.06,4461.07,2516.26,2310.04,2114.97,7476.1,1166.72,997,2283.57,3308.58,988.77,1192.55,8.85,1413.2,418.08,146.29,363.6,710.74
2012,2455.5,1210.57,1914.61,513.2,769.39,3611.21,836.8,1201.93,2208.96,5089.06,3541.63,1921.86,2293.9,931.39,3529.51,1915.57,1689.86,1711.55,5488.39,995.82,701.72,1972.42,2816.49,739.96,1077.1,6.16,1215.57,301.6,91.14,256.19,458.14
2011,1606.04,1167.36,1993.81,378.36,972.52,3009.23,883.16,1085.62,2034.87,4158.61,2702.36,1745,1649.34,824.32,3757.63,1788.04,1569.32,1569.99,5070.76,977.1,743.93,1825.41,2677.36,592.73,958.78,5.73,1352.54,237.3,105.85,239,516.24
2010,2060.52,1034.32,1488.78,357.37,766.47,2587.66,735.91,833.05,2416.24,4536.63,3577.49,1420.06,1300.13,670.34,3218.02,1454.57,1134.94,1247.65,4589.82,881.7,734.1,1610.64,2330.85,501.63,769.32,5.18,906.68,203.32,77.1,253.76,416.41
2009,2486.77,965.36,905.15,245.98,597.01,1883.47,490.23,537.05,3620.23,4341.03,3755.53,1179.69,1299.09,530.56,2195.85,1004.89,879.23,826.07,4176.65,704.76,343.44,1231.71,1906.88,407.31,555.58,14.69,621.28,158,50.8,191.47,327.17
2008,1201.37,635.57,583.89,201.18,474.18,1333.89,344.44,339.91,1629.08,2008.78,1524.11,714.03,562.26,324.44,1436.93,629.4,527.84,510.11,2495.64,431.52,195.19,704.82,996.02,179.94,360.77,19.26,402.24,108.97,33.67,100.42,186.12
2007,1845.97,781.63,493.27,173.74,364.57,1189.4,259.59,357.51,2706.3,2596.79,2207.09,695.24,938.32,407.22,1318.64,742.83,699.67,516.75,3184.2,442.63,122.67,856.73,1255.96,187.92,411.59,15.87,342.74,119.37,32.5,87.75,211.34
2006,1626.3,619.51,343.29,133.74,203.36,787.45,163.4,264.27,1841.04,1794.64,1370.87,438.64,637.34,260.1,917.84,403.72,463.91,300.41,2153.62,270.75,72.35,418.7,793.6,128.2,328.64,7.13,243.51,82.24,20.42,63,135.81
2005,1739.97,504.14,235.04,116.31,128.72,620.6,130.95,196.32,1906.05,1422.79,1122.24,348.1,481.9,194.29,784.25,255.37,335.19,226.36,1886.39,239.81,66.55,340.68,511.18,101.3,259.1,3.64,163.97,76.49,18.23,56.32,91.52
2004,1085.11,234.87,117.12,55.12,65.03,365.43,60.95,117.42,1762.66,667.18,660.13,185.33,281.26,99.8,416.27,135.41,199.15,128.62,992.32,141.43,28.14,179,248.53,58.42,89.21,2.63,75.56,37.65,11.84,44.56,73.22
2003,789.16,172.43,112.51,37.82,46.76,281.4,63.14,109.15,1109.86,476.88,577.64,121.96,222.46,66.86,325.52,102.59,147.35,86.18,820.13,76.74,21.98,149.99,268.2,56.49,85.3,1.78,73.97,24.53,9.44,28.45,76.8
2002,716.66,129.92,74.95,32.75,36.17,223.1,64.84,91.82,739.89,374.55,398.73,79.85,153.95,42.35,227.53,75.5,102.05,59.59,683.01,49.69,12.76,111.19,195.73,40.42,66.35,2.26,65.38,18.19,7.14,15.7,65.82
