Year,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,47305.74,37853.82,101891.23,51211.74,48316.66,112673.28,46955.03,60615.7,63842.08,205932.48,126861.71,113481.07,79527.78,77826.12,190670.76,157667.66,117624.13,116037.5,221199.94,76225.27,18406.24,85916.33,155700.74,56576.39,61127.61,3404.25,61013.99,30528.9,8095.71,16021.2,36101.45
2020,46428.64,36519.85,96111.63,48176.82,46603.3,109524.65,45282.26,59411.15,62352.13,191570.98,118438.03,103973.4,73930.17,71144.86,178038.71,145408.83,110292.52,107720.79,209373.68,70943.77,17734.1,80970.91,144788.6,51750.86,57919.01,3288.75,57127.36,28410.52,7766.65,15175.43,33901.96
2019,45695.05,35299.11,90539.38,45627.33,44735.83,106077.39,43628.62,58061.29,60918.06,177715.26,109605.65,95278.05,68720.14,65291.81,166133.97,132577.65,104332.44,99214.14,196443.02,64936.32,17107.91,76156.42,133886.23,46820.93,53743.13,3207.13,53224.96,26546.71,7346.01,14203.56,32128.35
2018,44906.03,33916.48,85769,43458,42932.28,102664.87,41754.63,56600.17,59564.36,165170.22,101801.66,86954.16,63646.41,59612.83,154704.96,119596.02,96365.35,91140.89,184570.41,58859.44,16386.34,71007.34,123435.18,42208.8,49678.61,3096.64,49406.71,24977.55,6939.35,13316.21,30616.6
2017,44379.27,32775.75,81054.58,41242.41,41229.89,99110.06,39940.81,54934.59,58231.07,153129.54,93865.49,78052.91,58864.83,54223.83,142949.59,107113.14,88263.64,83142.95,172495.31,53269.55,15087.52,65582.58,113539.83,37767.36,46034.68,3034.54,45861.11,23539.6,6561.94,12428.24,29421.46
2016,43770.49,31432.88,75477.59,38996.13,39503.73,95313.01,38338.75,53066.45,56889.45,140642.88,86195.79,70103.63,54338.7,49258.86,131748.55,95405.88,80899.97,75774.68,158972.8,48582.14,12914.4,60129.93,104753.22,33869.71,42550.19,2989.58,42441.27,22153.56,6162.37,11557.96,28104.76
2015,42789.12,28911.01,69577.87,37114.62,37430.37,91929.93,36708.03,51269.43,54869.65,127985.22,78961.6,62596.76,50204.24,45118.31,121149.97,85268.75,74110.76,68584.02,145950.83,44718.13,11497.31,55024.47,96869.13,30442.75,39617.09,2918.42,39428.66,20674.75,5789.34,10727.74,26561.1
2014,41662.28,27236.23,64416.22,35633.48,35485.45,88452.67,35403.21,49558.83,52860.48,117709.27,73829.72,57239.95,46888.55,41972.48,112623.12,77622.91,68463.04,62912.83,135453.21,41536.62,10512.52,50546.76,90373.7,27499.38,37040.29,2872.1,36710.68,19367.27,5459.63,10019.62,25024.61
2013,40525.75,25752.59,59401.16,34199.57,33489.77,83520.59,34015.34,47427.37,51079.57,108908.34,69888.23,51875.01,43564.45,39197.26,104650.63,70613.82,63460.44,58060.51,127289.65,38667.3,9569.68,46123.08,84197.19,24792.29,34422.27,2818.46,33873.99,18154.67,5096.71,9080.25,23483.36
2012,39162.08,24032.25,54381.03,32715.2,31226.12,75505.79,32029.39,44483.14,49063.76,98716.82,65790.6,46301.48,39606.99,36351.22,95350.34,64052.41,58694.76,52649.03,118458.7,35902.15,8414.82,41763.89,77691.87,22145.31,31566.75,2795.68,31042.77,17019.86,4727.01,8151.99,21683.41
2011,37678.71,22520.85,49758.57,31324.76,29121.9,67850.39,29869.96,41256.92,47471.13,90793.45,62474.37,42026.05,36865.03,34225.32,87604.47,58596.91,55074.66,47984.95,111301.07,33355.19,7516.47,37658.78,72012.54,20142.91,28777.07,2775.03,28511.93,16126.5,4480.16,7444.42,20408.61
2010,36643.75,21155.14,44465.39,30153.88,26210.74,61226.34,27747.57,38309.08,45971.13,84026.2,59717.19,38034.06,34651.73,32068.55,78863.31,52871.79,51285.98,43529.36,104594.47,30605.86,6697.45,33595.36,66186.02,18444.39,25947.49,2757.74,25637.42,15368.35,4137.6,6739.29,18838.05
2009,35442.36,19852.53,40140.27,29083.34,23640.9,55212.84,25642.24,35923.4,44280.31,75913.83,55883.45,34392.18,32512.47,29802.83,70415.05,47779.3,48049.1,39389.29,98041.66,27998.71,5863.26,29609.05,60336.68,16848.09,23288.5,2738.98,23165.47,14676.28,3871.17,5922.5,17388.03
2008,33561.91,18391.06,37320.5,28119.29,21386.92,50348.59,23883.87,34172.18,41352.27,66879.14,51123.33,30745.74,30091.64,27694.76,63936.77,43761.85,45472.78,36126.95,91474.23,25749.01,5317.35,25837.83,54783.55,15306.18,21248.17,2677.56,21169.8,14016.9,3663.15,5244.52,16061.36
2007,32530.48,17255.71,35191.64,27226.19,19293.58,46617.4,22448.14,32885.56,39344.79,61596.25,48642.59,28203.14,28841.64,26089.9,58897.37,40818.49,43651.47,33713.25,87113.78,24111.02,4958.63,23167.9,51536.23,14458.07,19769.92,2615.48,19743.74,13428.27,3521.92,4791.26,15175.01
2006,30799,15853.86,33222.52,26379.69,17483.85,43071.85,21263.74,31366.99,36065.62,54823.54,44717.67,25427.48,26745.27,24052.03,54186.71,37249.31,41269.56,31214.42,81509.9,22255.52,4659.04,19857.77,46973.76,13468.68,17977.08,2555.88,18365.83,12872.02,3374.58,4343.03,14096.73
2005,28593.97,14521.37,31530.1,25638.96,16233.75,40341.11,20384.5,30068.48,33450.13,49506.34,41678.13,23389.94,25001.88,22416.77,50362.29,35058.32,39354.26,29399.41,76816.51,20883.12,4465.31,17846.07,43234.87,12659.12,16476.89,2513.6,17305.75,12389.12,3263.62,4006.01,13290.27
2004,25770.32,13256.99,30207.78,25019.1,15315.32,38000.75,19638.58,29020.22,30604.43,44983.2,38853.48,21703.91,23281.32,20962.26,46944.54,33518.72,37805.07,27787.81,72270.19,19568.75,4232.23,16053.66,40206.32,11884.41,15181.94,2489.42,16456.32,11949.29,3155.16,3686.85,12683.79
2003,23484.5,12460.9,29419.9,24668.86,14784.41,36422.65,19291.99,28326.44,27544.9,42223.79,36483.75,20524.25,22056.71,19975.34,44737.26,32580.52,36559.69,26757.46,69261.6,18818.96,4113.98,14915.4,38367.3,11389.96,14702.41,2479.86,15983.39,11714.1,3071.51,3419.3,12131.16
2002,21713.4,11740.3,28581.88,24369.43,14350.44,35102.36,18855.67,27653.33,25320.4,39859.47,34126.97,19617.9,20972.92,19281.81,42732.23,31784.74,35544.65,26032.18,66522,18367.29,4005.03,13782.4,36185.48,10895.51,14221.89,2469.66,15451.41,11505.23,3001.17,3231.49,11614.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
