Year,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,87.53,84.85,61.14,63.42,68.21,72.81,63.37,65.7,89.31,73.94,72.66,59.4,69.69,61.46,63.94,56.45,64.08,59.71,74.63,55.07,60.98,70.33,57.82,54.34,51.04,36.61,63.63,53.33,60.94,66.07,57.24
2020,87.53,84.72,60.08,62.52,67.5,72.15,62.65,65.59,89.31,73.45,72.17,58.33,68.76,60.43,63.05,55.43,62.89,58.77,74.15,54.19,60.28,69.46,56.73,53.16,50.04,35.79,62.65,52.22,60.03,64.91,56.53
2019,87.35,84.33,58.78,61.28,66.46,71.22,61.64,64.61,89.24,72.46,71.58,57.03,67.88,59.08,61.86,54.01,61.84,57.45,72.65,52.97,59.4,68.22,55.36,51.48,48.66,34.63,61.28,50.7,58.81,63.6,55.53
2018,87.09,83.95,57.33,59.85,65.52,70.26,60.87,63.45,89.13,71.19,70.01,55.65,66.98,57.35,61.46,52.24,60.99,56.1,71.81,51.83,59.16,66.61,53.5,49.53,47.44,33.9,59.65,49.7,57.24,62.11,54.01
2017,86.92,83.55,55.74,58.6,64.61,69.48,59.7,61.9,89.09,70.18,68.91,54.28,65.78,55.71,60.79,50.56,59.87,54.62,70.74,50.58,58.02,65.01,51.78,47.75,46.28,33.24,58.07,48.14,55.46,60.99,51.9
2016,86.74,83.3,53.87,57.26,63.38,68.87,58.75,61.1,89.01,68.93,67.72,52.63,64.39,53.98,59.13,48.78,58.57,52.69,70.15,49.25,56.74,63.34,50.01,45.56,44.64,31.47,56.4,46.07,53.61,58.71,50.41
2015,86.7,82.9,51.67,55.87,62.09,68.05,57.63,60.47,88.53,67.49,66.32,50.97,63.23,52.31,56.97,47.02,57.18,50.79,69.51,47.99,54.92,61.47,48.27,42.96,42.93,28.79,54.73,44.23,51.65,57.02,48.76
2014,86.5,82.58,49.37,54.31,60.96,67.05,56.81,59.23,89.3,65.7,64.96,49.31,62,50.56,54.77,45.05,55.73,48.98,68.62,46.54,53.31,59.74,46.5,40.25,41.22,26.15,53.02,42.28,50.87,54.87,46.8
2013,86.4,82.27,48.02,52.87,59.84,66.46,55.73,58.05,89.58,64.39,63.93,47.86,60.8,49.04,53.46,43.6,54.5,47.64,68.09,45.11,52.28,58.29,44.96,37.89,39.99,23.97,51.58,40.48,49.21,52.85,44.95
2012,86.28,81.57,46.6,51.32,58.4,65.65,54.52,56.87,89.29,63,62.9,46.3,59.31,47.4,52.03,41.98,53.23,46.22,67.15,43.48,50.99,56.64,43.35,36.3,38.48,22.86,49.72,38.78,47.81,51.14,44.21
2011,86.22,80.46,45.59,49.8,57.04,64.06,53.39,56.48,89.3,62.01,62.3,44.79,58.11,45.75,50.86,40.47,51.79,44.96,66.57,41.89,50.34,54.99,41.85,35.04,36.58,22.65,47.36,37.26,46.48,50.15,43.73
2010,85.93,79.6,44.5,48.04,55.5,62.1,53.33,55.67,89.27,60.58,61.61,43.01,57.11,44.06,49.7,38.5,49.7,43.3,66.18,40,49.83,53,40.17,33.8,34.7,22.67,45.76,36.13,44.76,47.87,43.02
2009,85,78.01,43.74,45.99,53.42,60.35,53.32,55.49,88.6,55.61,57.9,42.1,55.1,43.19,48.32,37.7,46,43.19,63.41,39.21,49.19,51.59,38.7,29.88,34,22.3,43.49,34.87,42.01,46.08,39.83
2008,84.92,77.21,41.89,45.12,51.72,60.05,53.22,55.4,88.6,54.3,57.6,40.51,53.01,41.36,47.61,36.03,45.19,42.15,63.37,38.16,48.01,49.98,37.4,29.12,33,21.92,42.09,33.56,40.79,44.98,39.65
2007,84.49,76.32,40.26,44.03,50.14,59.19,53.15,53.9,88.66,53.2,57.21,38.71,51.41,39.81,46.75,34.34,44.31,40.46,63.14,36.24,47.22,48.3,35.6,28.25,31.59,21.45,40.61,32.26,40.04,44.1,39.14
2006,84.32,75.72,38.76,42.99,48.65,58.98,52.96,53.49,88.7,51.89,56.51,37.1,50.4,38.67,46.1,32.47,43.81,38.71,63.01,34.65,46.05,46.69,34.3,27.45,30.49,21.05,39.12,31.1,39.23,43.05,37.95
2005,83.62,75.07,37.69,42.12,47.19,58.71,52.5,53.09,89.1,50.5,56.02,35.51,49.4,37,45,30.65,43.2,37.01,60.68,33.63,45.17,45.21,33,26.86,29.51,20.71,37.24,30.02,39.23,42.28,37.16
2004,82.52,74.5,35.19,40.63,46.29,57.82,51.95,52.79,88.94,48.37,54.56,33.88,46.14,35.02,43.57,29.06,42.6,35.49,59.56,32.48,44.17,42.68,31.68,26.25,28.2,24.96,36.21,28.75,38.33,40.23,36.47
2003,81.36,73.89,32.78,39.17,45.38,56.93,51.38,52.48,88.78,46.63,53.09,32.3,44.99,33.1,42.16,27.51,42,34.01,58.43,31.37,43.15,40.2,30.38,25.64,26.93,23.34,35.2,27.51,37.43,38.22,35.8
2002,80.15,73.27,30.45,37.73,44.48,56.04,50.82,52.16,88.63,44.91,51.62,30.76,43.84,31.23,40.76,26.02,41.4,32.55,57.3,30.27,42.13,37.77,29.12,25.04,25.71,21.79,34.21,26.31,36.53,36.24,35.13
