OID_,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity,dist_attractions,dist_city,airbnb_count,average_price,poi_count,transport_count,hotel_count
1,53939356.000000000000000,435279521,100,100.000000000000000,f,t,t,47.739080000000001,-122.290090000000006,1,2.000000000000000,1.000000000000000,1.000000000000000,42.000000000000000,1.000000000000000,1125.000000000000000,4.330000000000000,4.670000000000000,4.220000000000000,5.000000000000000,4.780000000000000,4.330000000000000,4.440000000000000,t,7,5,2,f,f,2,28,366,0.030000000000000,-1.980000000000000,-1.950000000000000,7755.257116411343304,15334.081465098110129,15,97.333333333333329,0,2.000000000000000,0
2,630392837253857024.000000000000000,104834083,98,99.000000000000000,f,t,t,47.508459999999999,-122.235770000000002,5,1.000000000000000,2.000000000000000,4.000000000000000,194.000000000000000,3.100000000000000,31.300000000000001,4.500000000000000,4.500000000000000,5.000000000000000,4.000000000000000,4.500000000000000,4.500000000000000,4.500000000000000,t,46,5,3,f,f,2,37,2208,-0.450000000000000,-1.560000000000000,-2.010000000000000,2461.987154263546472,12759.323173548324121,11,207.181818181818187,0,0.000000000000000,0
3,19553441.000000000000000,25383292,0,33.000000000000000,t,t,t,47.584930000000000,-122.400620000000004,6,3.000000000000000,3.000000000000000,3.000000000000000,595.000000000000000,30.000000000000000,30.000000000000000,5.000000000000000,5.000000000000000,4.950000000000000,4.950000000000000,5.000000000000000,5.000000000000000,4.900000000000000,f,2,1,3,t,t,2,69,2901,-1.010000000000000,-1.980000000000000,-2.990000000000000,4964.330923515273753,5707.555278490612181,31,271.903225806451587,25,6.000000000000000,0
4,606740310546802048.000000000000000,121968404,100,100.000000000000000,f,t,t,47.742550000000001,-122.327119999999994,6,2.000000000000000,3.000000000000000,4.000000000000000,248.000000000000000,3.000000000000000,1125.000000000000000,4.860000000000000,4.860000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.860000000000000,5.000000000000000,f,1,5,3,f,t,2,54,2088,0.010000000000000,-0.170000000000000,-0.160000000000000,8109.386216026292459,15424.788046446094086,6,169.166666666666657,13,2.000000000000000,0
5,675687046361565952.000000000000000,114731080,100,100.000000000000000,t,t,t,47.744079999999997,-122.288240000000002,12,3.000000000000000,6.000000000000000,8.000000000000000,362.000000000000000,3.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,f,3,5,3,f,t,3,57,2135,-0.500000000000000,-0.490000000000000,-0.990000000000000,8327.438225783300368,15906.442890736401750,10,132.599999999999994,0,2.000000000000000,0
6,23896079.000000000000000,28319832,100,94.000000000000000,t,t,t,47.510390000000001,-122.310580000000002,2,1.000000000000000,1.000000000000000,1.000000000000000,71.000000000000000,1.000000000000000,5.000000000000000,4.830000000000000,4.890000000000000,4.820000000000000,4.890000000000000,4.860000000000000,4.750000000000000,4.870000000000000,f,2,4,2,f,t,2,34,2844,2.780000000000000,-1.020000000000000,1.760000000000000,1281.696489894832666,10492.010422411678519,13,150.000000000000000,0,0.000000000000000,0
7,10123910.000000000000000,28991907,100,0.000000000000000,t,t,t,47.614400000000003,-122.280140000000003,8,2.000000000000000,3.000000000000000,5.000000000000000,399.000000000000000,5.000000000000000,365.000000000000000,4.820000000000000,4.800000000000000,4.770000000000000,4.990000000000000,4.920000000000000,4.960000000000000,4.700000000000000,f,1,4,3,t,t,3,41,2833,-0.570000000000000,1.110000000000000,0.540000000000000,3968.767516420774882,3933.105871204794767,8,211.625000000000000,1,7.000000000000000,0
8,4995768.000000000000000,25749669,75,50.000000000000000,f,t,t,47.505150000000000,-122.340909999999994,2,1.500000000000000,1.000000000000000,1.000000000000000,90.000000000000000,2.000000000000000,1125.000000000000000,4.670000000000000,4.800000000000000,4.470000000000000,4.930000000000000,4.870000000000000,4.730000000000000,4.710000000000000,f,4,3,2,f,t,2,33,2893,-0.920000000000000,-1.340000000000000,-2.260000000000000,3397.147385132653199,11001.976915974108124,9,217.111111111111114,4,5.000000000000000,0
9,697740980653683712.000000000000000,423937178,100,100.000000000000000,f,t,t,47.486069999999998,-122.283980000000000,10,3.000000000000000,5.000000000000000,5.000000000000000,298.000000000000000,2.000000000000000,365.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,f,1,5,3,f,f,1,45,444,0.740000000000000,-0.170000000000000,0.570000000000000,3599.806583413427688,13544.730922355949588,3,139.333333333333343,2,6.000000000000000,0
10,52134913.000000000000000,23165254,100,98.000000000000000,f,t,t,47.516419999999997,-122.337379999999996,8,1.000000000000000,2.000000000000000,2.000000000000000,349.000000000000000,173.099999999999994,365.000000000000000,4.640000000000000,4.180000000000000,4.910000000000000,4.550000000000000,4.640000000000000,4.550000000000000,4.180000000000000,t,10,5,3,f,t,3,30,2962,-0.730000000000000,1.110000000000000,0.380000000000000,2722.407860897659702,9734.223052446690417,4,208.250000000000000,2,5.000000000000000,0
11,3578755.000000000000000,1639677,100,0.000000000000000,f,t,t,47.635840000000002,-122.331299999999999,5,1.500000000000000,3.000000000000000,3.000000000000000,933.000000000000000,30.000000000000000,365.000000000000000,4.910000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.730000000000000,f,1,4,3,f,t,3,14,3974,-1.110000000000000,-0.070000000000000,-1.180000000000000,970.393137886031241,3559.948535203737720,10,359.199999999999989,15,4.000000000000000,0
12,50229265.000000000000000,25443744,100,100.000000000000000,f,t,t,47.495179999999998,-122.324010000000001,4,1.000000000000000,1.000000000000000,2.000000000000000,120.000000000000000,2.000000000000000,1125.000000000000000,4.470000000000000,4.670000000000000,4.470000000000000,4.930000000000000,4.730000000000000,4.530000000000000,4.470000000000000,t,1,5,3,f,t,2,45,2899,-0.680000000000000,1.110000000000000,0.430000000000000,3217.494389240475812,12088.695715236739488,5,132.400000000000006,0,0.000000000000000,0
13,660134507221185280.000000000000000,432019387,100,100.000000000000000,f,t,t,47.497779999999999,-122.317589999999996,3,1.000000000000000,1.000000000000000,1.000000000000000,159.000000000000000,1.000000000000000,1125.000000000000000,4.920000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.310000000000000,4.620000000000000,t,1,5,3,f,t,2,49,389,1.650000000000000,-0.710000000000000,0.940000000000000,2691.111055840089193,11828.352532036124103,4,108.750000000000000,0,0.000000000000000,0
14,640605557195532416.000000000000000,459383756,100,100.000000000000000,f,t,t,47.513515299999987,-122.312237499999995,3,1.000000000000000,1.000000000000000,1.000000000000000,165.000000000000000,1.000000000000000,1125.000000000000000,4.960000000000000,4.920000000000000,5.000000000000000,4.960000000000000,5.000000000000000,4.750000000000000,4.830000000000000,t,4,5,3,f,t,2,24,207,4.850000000000000,-1.240000000000000,3.609999999999999,1089.841242870512360,10130.785644417677759,11,157.000000000000000,0,2.000000000000000,0
15,629891486106686848.000000000000000,317871568,96,99.000000000000000,f,t,t,47.733849999999997,-122.295389999999998,2,1.500000000000000,1.000000000000000,1.000000000000000,55.000000000000000,1.000000000000000,28.000000000000000,4.850000000000000,4.850000000000000,4.960000000000000,4.880000000000000,4.920000000000000,4.770000000000000,4.850000000000000,f,3,5,2,f,t,1,35,1090,2.150000000000000,0.680000000000000,2.830000000000000,7114.725292354411977,14688.542953469059285,13,139.307692307692321,7,12.000000000000000,0
16,39447054.000000000000000,151184281,100,98.000000000000000,t,t,t,47.496350000000000,-122.340810000000005,2,1.000000000000000,1.000000000000000,1.000000000000000,97.000000000000000,1.000000000000000,1125.000000000000000,4.820000000000000,4.900000000000000,4.940000000000000,4.900000000000000,4.890000000000000,4.800000000000000,4.850000000000000,f,5,5,2,f,t,2,30,1907,1.680000000000000,-1.020000000000000,0.660000000000000,3966.300404563661687,11977.382235828496050,6,99.666666666666671,0,0.000000000000000,0
