id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,license_tf,response_time_num,host_verifications_num,amenities_num,pop_past,pop_future,popularity,relative_meanprice,relative_price,type_num,host_location_tf,host_duration,cluster_id
19553441,25383292,0,33.0,t,t,t,6,3.0,3.0,3.0,595.0,30.0,30.0,5.0,5.0,4.95,4.95,5.0,5.0,4.9,f,2,t,1,2,69,-0.87,-2.11,-2.98,277.56,317.44,3,t,2897,1
23896079,28319832,100,94.0,t,t,t,2,1.0,1.0,1.0,71.0,1.0,5.0,4.83,4.89,4.82,4.89,4.86,4.75,4.87,f,2,f,4,2,34,2.91,-1.13,1.7800000000000002,141.54545454545453,-70.54545454545453,2,t,2840,0
10123910,28991907,100,0.0,t,t,t,8,2.0,3.0,5.0,399.0,5.0,365.0,4.82,4.8,4.77,4.99,4.92,4.96,4.7,f,1,t,4,3,41,-0.43,1.03,0.6000000000000001,211.625,187.375,3,t,2829,1
4995768,25749669,75,50.0,f,t,t,2,1.5,1.0,1.0,90.0,2.0,1125.0,4.67,4.8,4.47,4.93,4.87,4.73,4.71,f,4,f,3,2,33,-0.78,-1.46,-2.24,255.8,-165.8,2,t,2889,0
640605557195532448,459383756,100,100.0,f,t,t,3,1.0,1.0,1.0,165.0,1.0,1125.0,4.96,4.92,5.0,4.96,5.0,4.75,4.83,t,4,f,5,2,24,4.96,-1.35,3.61,211.5,-46.5,3,t,203,0
39447054,151184281,100,98.0,t,t,t,2,1.0,1.0,1.0,97.0,1.0,1125.0,4.82,4.9,4.94,4.9,4.89,4.8,4.85,f,5,f,5,2,30,1.81,-1.13,0.6800000000000002,99.66666666666669,-2.6666666666666714,2,t,1903,0
44667695,51601507,100,100.0,f,t,t,1,1.0,1.0,1.0,129.0,2.0,29.0,4.73,4.91,4.73,4.91,4.91,4.91,4.82,f,3,f,5,2,47,-0.78,1.03,0.25,136.5,-7.5,2,t,2545,0
16733665,36390224,100,90.0,t,t,t,5,2.5,2.0,3.0,249.0,30.0,1125.0,4.94,4.97,4.97,5.0,5.0,4.9,4.84,f,1,t,5,2,39,-0.8,1.03,0.2299999999999999,154.78125,94.21875,3,f,2724,1
580365544480383496,3436665,86,95.0,f,t,t,4,1.0,1.0,1.0,107.0,2.0,1125.0,4.2,4.6,3.8,3.6,4.4,4.0,4.4,t,1,f,5,2,52,-0.64,-1.67,-2.31,154.16666666666666,-47.16666666666666,3,t,3748,0
544308358342040260,6865216,100,99.0,t,t,t,4,1.0,2.0,3.0,117.0,1.3,1125.0,4.91,4.89,4.77,4.98,5.0,4.83,4.87,f,1,f,5,2,55,1.86,-0.38,1.48,127.66666666666669,-10.666666666666671,3,t,3464,0
30499937,21374074,100,95.0,t,t,t,4,1.0,2.0,2.0,158.0,2.1,1125.0,4.82,4.85,4.79,4.92,4.93,4.68,4.65,t,1,f,5,3,45,0.02,-2.11,-2.09,135.83333333333334,22.166666666666657,3,f,3003,0
39060942,149757297,100,98.0,t,t,t,4,1.0,2.0,2.0,104.0,3.0,1125.0,4.8,4.84,4.87,5.0,4.94,4.77,4.74,t,1,f,5,2,46,0.07,-0.05,0.02,118.5,-14.5,3,t,1914,0
